"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Golden State Warriors","28.0","40","13","40","13","8.26","-0.23","8.04","112.1","103.7","+8.4","98.6",".235",".463",".581",NA,".552","14.1","23.6",".180",NA,".498","13.6","79.2",".193",NA,"Chase Center","523,856","18,064"
"3","2","Phoenix Suns","27.7","42","10","38","14","7.75","-0.16","7.59","113.4","105.6","+7.8","99.2",".224",".354",".574",NA,".542","11.9","23.1",".177",NA,".504","13.2","77.2",".176",NA,"Phoenix Suns Arena","424,177","15,710"
"4","3","Utah Jazz","29.6","32","21","36","17","6.02","-0.20","5.82","116.1","109.9","+6.2","97.9",".266",".466",".592",NA,".558","13.0","24.0",".207",NA,".519","10.8","78.0",".153",NA,"Vivint Smart Home Arena","494,262","18,306"
"5","4","Miami Heat","28.1","34","20","34","20","4.22","-0.38","3.85","112.6","108.2","+4.4","95.6",".236",".421",".575",NA,".538","13.6","25.2",".192",NA,".523","14.2","78.0",".203",NA,"FTX Arena","470,904","19,621"
"6","5","Cleveland Cavaliers","24.8","32","21","34","19","4.25","-0.03","4.21","110.7","106.3","+4.4","96.4",".244",".396",".566",NA,".535","13.7","24.1",".183",NA,".506","12.5","76.1",".157",NA,"Quicken Loans Arena","449,430","17,977"
"7","6","Memphis Grizzlies","23.9","37","18","34","21","4.09","0.14","4.23","112.6","108.5","+4.1","99.5",".236",".350",".546",NA,".516","11.5","29.1",".174",NA,".524","13.6","78.0",".187",NA,"FedEx Forum","424,377","15,156"
"8","7","Milwaukee Bucks","28.4","33","21","33","21","3.61","-0.81","2.80","112.8","109.1","+3.7","99.1",".242",".443",".570",NA,".537","12.3","23.0",".189",NA,".522","12.1","77.8",".164",NA,"Fiserv Forum","486,727","17,383"
"9","8","Boston Celtics","26.1","29","25","33","21","3.57","-0.22","3.35","110.2","106.6","+3.6","96.5",".238",".415",".559",NA,".521","12.8","23.6",".195",NA,".502","12.5","77.6",".181",NA,"TD Garden","517,212","18,472"
"10","9","Dallas Mavericks","26.7","30","23","31","22","2.62","-0.13","2.50","110.3","107.6","+2.7","95.8",".236",".426",".557",NA,".524","11.6","21.2",".181",NA,".520","12.7","78.9",".180",NA,"American Airlines Center","527,736","19,546"
