"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.5","61","14","56","19","8.45","-0.62","7.83","115.6","107.1","+8.5","99.5",".226",".353",".586",NA,".553","11.6","22.3",".181",NA,".509","13.0","77.1",".189",NA,"Phoenix Suns Arena","629,029","16,129"
"3","2","Boston Celtics","26.0","47","28","53","22","6.87","-0.42","6.44","113.6","106.6","+7.0","96.4",".240",".421",".574",NA,".537","12.3","23.9",".196",NA,".499","12.5","77.3",".183",NA,"TD Garden","689,616","18,148"
"4","3","Memphis Grizzlies","24.0","52","23","51","24","6.00","-0.68","5.32","114.7","108.7","+6.0","100.1",".244",".346",".552",NA,".522","11.2","30.2",".179",NA,".520","13.1","77.7",".193",NA,"FedEx Forum","577,332","15,604"
"5","4","Utah Jazz","29.3","45","30","50","25","5.67","-0.32","5.35","116.5","110.6","+5.9","97.2",".262",".470",".590",NA,".556","12.8","25.0",".204",NA,".521","10.9","78.1",".162",NA,"Vivint Smart Home Arena","677,322","18,306"
"6","5","Golden State Warriors","27.6","48","27","51","24","5.60","-0.14","5.46","112.6","106.9","+5.7","98.4",".236",".459",".580",NA,".550","13.4","23.1",".180",NA,".511","13.1","78.8",".198",NA,"Chase Center","686,432","18,064"
"7","6","Miami Heat","28.2","47","28","47","28","3.89","-0.22","3.67","112.9","108.9","+4.0","95.7",".251",".419",".578",NA,".540","13.4","23.9",".204",NA,".523","13.9","77.8",".209",NA,"FTX Arena","745,568","19,620"
"8","7","Milwaukee Bucks","28.5","46","28","45","29","3.69","-0.27","3.42","114.8","111.1","+3.7","99.8",".256",".435",".580",NA,".546","12.0","23.0",".198",NA,".531","11.6","78.3",".164",NA,"Fiserv Forum","661,610","17,411"
"9","8","Minnesota Timberwolves","24.2","43","33","45","31","3.18","-0.03","3.16","114.1","110.9","+3.2","100.6",".250",".454",".571",NA,".537","12.4","24.5",".195",NA,".530","14.2","75.1",".228",NA,"Target Center","605,740","15,941"
"10","9","Dallas Mavericks","26.7","46","29","44","31","2.57","0.03","2.61","111.5","108.8","+2.7","95.3",".243",".435",".564",NA,".531","11.7","21.4",".186",NA,".520","12.3","77.9",".182",NA,"American Airlines Center","747,211","19,663"
"11","10","Cleveland Cavaliers","24.7","41","33","43","31","2.49","-0.07","2.42","111.3","108.7","+2.6","96.0",".259",".387",".568",NA,".535","13.4","24.2",".197",NA,".517","12.5","76.3",".166",NA,"Rocket Mortgage Fieldhouse","680,500","18,392"
"12","11","Denver Nuggets","27.7","44","31","43","32","2.45","-0.14","2.32","114.0","111.5","+2.5","97.6",".240",".419",".586",NA,".553","13.1","21.7",".190",NA,".536","11.8","78.3",".185",NA,"Ball Arena","619,573","16,745"
"13","12","Philadelphia 76ers","26.7","46","28","42","32","2.18","0.09","2.26","112.6","110.3","+2.3","96.0",".280",".372",".572",NA,".528","11.5","20.0",".229",NA,".520","12.0","76.7",".189",NA,"Wells Fargo Center","761,261","20,575"
"14","13","Toronto Raptors","24.7","42","32","42","32","2.00","0.05","2.05","112.9","110.8","+2.1","95.8",".234",".373",".543",NA,".510","11.0","28.5",".177",NA,".535","14.3","75.5",".201",NA,"Scotiabank Arena","428,543","12,244"
"15","14","Atlanta Hawks","26.2","37","37","39","35","0.72","0.16","0.88","115.6","114.9","+0.7","97.5",".250",".386",".577",NA,".539","10.9","22.8",".203",NA,".543","11.5","76.8",".176",NA,"State Farm Arena","619,744","16,309"
"16","15","Chicago Bulls","26.3","43","31","38","36","0.39","-0.21","0.18","113.2","112.8","+0.4","98.4",".243",".336",".580",NA,".543","11.8","20.1",".197",NA,".536","12.0","78.1",".199",NA,"United Center","749,577","20,822"
"17","16","Charlotte Hornets","25.5","39","36","38","37","0.39","0.09","0.48","113.5","113.1","+0.4","100.0",".237",".419",".567",NA,".539","11.5","23.5",".175",NA,".540","13.1","74.8",".186",NA,"Spectrum Center","648,249","17,059"
"18","17","Brooklyn Nets","29.2","39","36","38","37","0.28","0.18","0.46","113.1","112.8","+0.3","98.9",".245",".357",".573",NA,".537","12.4","23.8",".196",NA,".522","11.8","75.1",".199",NA,"Barclays Center","622,159","17,282"
"19","18","San Antonio Spurs","24.6","30","44","36","38","-0.39","0.01","-0.38","112.0","112.4","-0.4","100.1",".212",".343",".553",NA,".525","11.1","24.1",".159",NA,".533","12.2","74.9",".175",NA,"AT&T Center","547,812","14,806"
"20","19","New York Knicks","26.1","33","42","36","39","-0.49","0.16","-0.33","110.3","110.8","-0.5","95.9",".278",".426",".549",NA,".512","12.2","25.3",".208",NA,".521","11.5","78.5",".198",NA,"Madison Square Garden (IV)","664,424","18,456"
"21","20","New Orleans Pelicans","25.6","32","43","35","40","-0.99","0.33","-0.65","111.5","112.5","-1.0","97.2",".258",".367",".555",NA,".517","12.6","26.5",".203",NA,".541","12.7","78.3",".198",NA,"Smoothie King Center","606,914","15,562"
