"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","68","16345",".468","14.9",NA,".615",".247",".163",".113",".093",".385",NA,".528",".674",".427",".451",".414",".370",NA,".533",".726",NA,".061","340",NA,".235","771",NA,".218",".402",NA,"14","1"
"3","2","Boston Celtics","69","16760",".456","15.2",NA,".583",".218",".196",".086",".082",".417",NA,".537",".725",".441",".404",".408",".343",NA,".502",".817",NA,".055","298",NA,".276","949",NA,".228",".373",NA,"9","0"
"4","3","Brooklyn Nets","68","16370",".469","14.0",NA,".640",".249",".164",".129",".097",".360",NA,".534",".650",".432",".481",".477",".354",NA,".540",".764",NA,".048","256",NA,".258","837",NA,".228",".384",NA,"6","0"
"5","4","Chicago Bulls","68","16345",".482","13.9",NA,".665",".260",".147",".130",".129",".335",NA,".537",".677",".450",".449",".444",".373",NA,".477",".849",NA,".050","269",NA,".247","845",NA,".274",".438",NA,"13","1"
"6","5","Charlotte Hornets","69","16760",".461","14.0",NA,".582",".284",".178",".072",".048",".418",NA,".533",".682",".377",".396",".435",".362",NA,".540",".862",NA,".076","426",NA,".287","958",NA,".281",".370",NA,"15","0"
"7","6","Cleveland Cavaliers","68","16345",".466","13.8",NA,".612",".283",".179",".094",".055",".388",NA,".539",".694",".405",".411",".398",".351",NA,".562",".819",NA,".078","404",NA,".242","777",NA,".234",".339",NA,"8","1"
"8","7","Dallas Mavericks","68","16395",".455","15.3",NA,".566",".201",".177",".114",".074",".434",NA,".541",".727",".443",".454",".404",".344",NA,".500",".794",NA,".058","295",NA,".205","701",NA,".253",".400",NA,"11","0"
"9","8","Denver Nuggets","69","16635",".477","14.5",NA,".579",".232",".200",".075",".073",".421",NA,".568",".742",".469",".435",".425",".351",NA,".580",".854",NA,".058","305",NA,".266","935",NA,".257",".376",NA,"22","0"
"10","9","Detroit Pistons","68","16420",".426","14.0",NA,".614",".250",".207",".081",".075",".386",NA,".490",".636",".411",".343",".384",".323",NA,".487",".895",NA,".038","203",NA,".308","984",NA,".263",".361",NA,"18","0"
"11","10","Golden State Warriors","69","16610",".470","15.6",NA,".538",".208",".196",".068",".067",".462",NA,".561",".713",".511",".417",".383",".364",NA,".601",".798",NA,".061","330",NA,".281","1001",NA,".221",".346",NA,"20","1"
"12","11","Houston Rockets","68","16395",".453","14.2",NA,".551",".302",".182",".036",".031",".449",NA,".542",".685",".389",".306",".321",".344",NA,".494",".789",NA,".085","434",NA,".305","970",NA,".181",".349",NA,"15","0"
